Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Revenue;Cost of Revenue;Gross Profit;Operating Expenses;Selling, General & Administrative;Research & Development;Depreciation & Amortization;Operating Income (Loss);Non-Operating Income (Loss);Interest Expense, Net;Pretax Income (Loss), Adj.;Abnormal Gains (Losses);Pretax Income (Loss);Income Tax (Expense) Benefit, Net;Income (Loss) from Continuing Operations;Net Extraordinary Gains (Losses);Net Income;Net Income (Common)
A;45846;USD;2018;FY;2018-10-31;2018-12-20;2020-12-18;321000000;325000000;4914000000;-2222143863;2680000000;-1760523747;-1372227707;-387000000;;904000000;42000000;-37000000;946000000;;946000000;-630000000;316000000;;316000000;316000000
A;45846;USD;2019;FY;2019-10-31;2019-12-19;2021-12-17;314000000;318000000;5163000000;-2358000000;2805000000;-1864000000;-1460000000;-404000000;;941000000;-22000000;-38000000;919000000;;919000000;152000000;1071000000;;1071000000;1071000000
A;45846;USD;2020;FY;2020-10-31;2020-12-18;2022-12-21;309000000;312000000;5339000000;-2502000000;2837000000;-1991000000;-1496000000;-495000000;;846000000;-4000000;-70000000;842000000;;842000000;-123000000;719000000;;719000000;719000000
A;45846;USD;2021;FY;2021-10-31;2021-12-17;2023-12-20;305000000;307000000;6319000000;-2912000000;3407000000;-2060000000;-1619000000;-441000000;;1347000000;13000000;-79000000;1360000000;;1360000000;-150000000;1210000000;;1210000000;1210000000
A;45846;USD;2022;FY;2022-10-31;2022-12-21;2023-12-20;304000000;307000000;6848000000;-3126000000;3722000000;-2104000000;-1637000000;-467000000;;1618000000;-114000000;-75000000;1504000000;;1504000000;-250000000;1254000000;;1254000000;1254000000
A21;1333027;USD;2019;FY;2019-12-31;2020-03-09;2022-04-19;1853320448;2115376392;284367000;-284462000;-95000;-1858519000;-689379000;-1169140000;;-1858614000;-132835000;-4036000;-1991449000;-426425000;-2417874000;;-2417874000;;-2321145000;-3281607000
A21;1333027;USD;2020;FY;2020-12-31;2021-03-10;2023-04-21;1853320448;2115376392;9456609000;-7907270000;1549339000;-2218676000;-1118819000;-1099857000;;-669337000;208133000;-66916000;-461204000;272327000;-188877000;22847000;-166030000;14373000;-151657000;-791985000
AA;367153;USD;2018;FY;2018-12-31;2019-02-26;2021-02-25;186000000;189000000;13403000000;-10081815912;3350000000;-1128550204;-248000000;-31000000;-733000000;2192682082;-186000000;-122000000;1593154131;-527000000;1625000000;-725838931;893000000;;226985850;226886714
AA;367153;USD;2019;FY;2019-12-31;2020-02-21;2022-02-24;185000000;185000000;10433000000;-8537000000;1896000000;-1162846504;-280000000;-27000000;-713000000;732901848;-283000000;-121000000;-438684082;-1031000000;-438000000;-415000000;-853000000;;-1125000000;-1125000000
AA;367153;USD;2020;FY;2020-12-31;2021-02-25;2023-02-23;186000000;186000000;9286000000;-7969000000;1317000000;-890152673;-206000000;-27000000;-653000000;431000000;-154000000;-146000000;173109195;-104000000;173000000;-187000000;-14000000;;-170000000;-170000000
AA;367153;USD;2021;FY;2021-12-31;2022-02-24;2024-02-21;185663439;185663439;12152000000;-9153000000;2999000000;-957758980;-227000000;-31000000;-664000000;2077000000;250000000;-195000000;1197239350;-1128000000;1199000000;-629000000;570000000;;429000000;429000000
AA;367153;USD;2022;FY;2022-12-31;2023-02-23;2024-02-21;186377853;189907737;12451000000;-10212000000;2239000000;-909807034;-204000000;-32000000;-617000000;1386000000;12000000;-106000000;700797461;-696000000;702000000;-664000000;38000000;;-123000000;-123000000
AAC;7962652;USD;2021;FY;2021-12-31;2022-03-04;2023-03-10;125000000;125000000;;;;-6461616;-6461616;;;-6461616;284779;;-6176837;22025909;15849072;;15849072;;15849072;15849072
AAC;7962652;USD;2022;FY;2022-12-31;2023-02-28;2023-03-10;100000000;100000000;;;;-7342712;-7342712;;;-7342712;13097713;;5755001;15228589;20983590;;20983590;;20983590;20983590
AACI;11820349;USD;2021;FY;2021-09-30;2021-12-29;2022-12-22;5709500;20709500;;;;-184105;-184105;;;-184105;1052;1052;-183053;;-183053;;-183053;-285846;-468899;-468899
AAC_delisted;939324;USD;2018;FY;2018-12-31;2019-04-15;2019-04-15;24090639;24090639;295763000;-207519000;88244000;-114073000;-13744000;;-21986000;-25829000;-465000;;-26294000;-43428000;-69722000;3004000;-66718000;;-59404000;-59404000
AAGH;12444287;USD;2019;FY;2019-06-30;2021-03-23;2021-07-13;20236021836;20236021836;;;;-46771;-46768;;;-46771;-4494;-4494;-51265;-12978;-64243;-800;-65043;;-65043;-65043
AAGH;12444287;USD;2020;FY;2020-06-30;2020-10-12;2022-01-21;20236021836;20236021836;5474;-3369;2105;-48256;-48181;;;-46151;-4965;-4965;-51116;;-51116;-800;-51916;;-51916;-51916
AAGH;12444287;USD;2021;FY;2021-06-30;2022-01-21;2022-10-31;20438554050;20438554050;195671;-144318;51353;-294913;-294913;;;-243560;-20044;-20044;-263604;-5450;-269054;;-269054;;-269054;-269054
AAGH;12444287;USD;2022;FY;2022-06-30;2022-10-31;2023-10-13;21090049276;21090049276;104648;-1588453;-1483805;-3250293;-3250293;;;-4734098;-190838;-190911;-4924936;;-4924936;;-4924936;;-4866153;-4866153
AAGH;12444287;USD;2023;FY;2023-06-30;2023-10-13;2023-10-13;21090938148;21090938148;204308;-35720;168588;-661232;-661232;;;-492644;-284696;-319679;-777340;;-777340;;-777340;;-761420;-761420
AAIC;9076064;USD;2018;FY;2018-12-31;2019-02-19;2020-02-24;29052000;29052000;130953000;;;-13370000;-13370000;;;117583000;-84468000;-84825000;33115000;-124179000;-91064000;-733000;-91797000;;-91797000;-92387000
AAIC;9076064;USD;2019;FY;2019-12-31;2020-02-24;2021-02-26;35709000;35833000;123478000;;;-14325000;-4821000;;;109153000;-97250000;-5050000;11903000;1839000;13742000;;13742000;;13742000;11142000
AAIC;9076064;USD;2020;FY;2020-12-31;2021-02-26;2022-03-10;35343000;35343000;46014000;;;-12615000;-5374000;;;33399000;-22916000;-22916000;10483000;-78199000;-67716000;;-67716000;;-67716000;-70707000
AAIC;9076064;USD;2021;FY;2021-12-31;2022-03-10;2023-03-31;32312000;32312000;25789000;;;-11704000;-11704000;;;14085000;-8835000;-8835000;5250000;-13199000;-7949000;-1566000;-9515000;;-9515000;-12431000
AAIC;9076064;USD;2022;FY;2022-12-31;2023-03-31;2023-03-31;28717000;29243000;49456000;;;-14915000;-14915000;;;34541000;-27584000;-27584000;6957000;2587000;9544000;-4118000;5426000;;5426000;2642000
AAL;68568;USD;2018;FY;2018-12-31;2019-02-25;2021-02-17;464236000;465660000;44541000000;-34501077013;10060610808;-6633956676;-1520000000;;-1839000000;3404003559;-772000000;-938000000;1884000000;;1884000000;-472000000;1412000000;;1412000000;1412000000
AAL;68568;USD;2019;FY;2019-12-31;2020-02-19;2022-02-22;443363000;444269000;45768000000;-35335630144;10390598307;-6715620556;-1602610126;;-1982000000;3686526683;-809000000;-968000000;2256000000;;2256000000;-570000000;1686000000;;1686000000;1686000000
AAL;68568;USD;2020;FY;2020-12-31;2021-02-17;2023-02-22;483888000;483888000;17337000000;-24890248478;-7594722010;-3488852606;-513952500;;-2040000000;-11094011577;-1032000000;-1186000000;-11453000000;;-11453000000;2568000000;-8885000000;;-8885000000;-8885000000
AAL;68568;USD;2021;FY;2021-12-31;2022-02-22;2024-02-21;648766000;648766000;29882000000;-29857215818;26972333;-5093819161;-1098000000;;-2019000000;-5065000000;-1489000000;-1782000000;-2542923384;4006000000;-2548000000;555000000;-1993000000;;-1993000000;-1993000000
AAL;68568;USD;2022;FY;2022-12-31;2023-02-22;2024-02-21;650345000;655122000;48971000000;-40029808305;9046716230;-7223986963;-1815000000;;-1977000000;1800000000;-1421000000;-1746000000;185861918;-193000000;186000000;-59000000;127000000;;127000000;127000000
AAMC;847094;USD;2018;FY;2018-12-31;2019-02-27;2019-02-27;2739421;2739421;15926000;-17300992;-1393553;-5223164;-5207042;;;-6608000;-3893000;;-10501000;;-10501000;-375000;-10876000;;-10876000;-11082000
AAMC;847094;USD;2019;FY;2019-12-31;2020-02-28;2021-03-03;2702918;2702918;15735559;-17024238;-1268628;-7751816;-7770447;;;-9026613;6753000;;-2277916;;-10392000;-338015;-2612714;7944000;-2613000;-2819000
AAMC;847094;USD;2020;FY;2020-12-31;2021-03-03;2022-03-31;2773254;2773254;;-11977000;-11977000;-8533000;-8518002;;;-20510000;6559000;;-13951000;;-13951000;-769000;-14720000;54541000;39821000;39779000
AAMC;847094;USD;2021;FY;2021-12-31;2022-03-31;2023-03-27;2773254;2773254;;-5635000;-5635000;-10989000;-11071929;;;-16624000;3095000;-60000;-8963036;4585000;-8944000;-3273000;75773900;6213000;81859868;82136268
AAMC;847094;USD;2022;FY;2022-12-31;2023-03-27;2024-03-29;3259755;3259755;562635;;;-16777000;-9379436;;-122000;-11812000;-1296000;-1328000;-15565104;-2476000;-15584000;-350000;-10791294;;-10787185;-10793429
AAN;441241;USD;2018;FY;2018-12-31;2019-02-14;2021-02-23;69128000;70597000;1794716000;-708154000;1086562000;-913870000;-482712000;;;172692000;-17306000;-16440000;63420117;-91818000;63568000;-12915000;50653000;;50653000;50653000
AAN;441241;USD;2019;FY;2019-12-31;2020-02-20;2022-02-24;67322000;68631000;1784477000;-672461000;1112016000;-926767000;-499993000;;;185249000;-13086000;-16967000;34313213;-137893000;34270000;-6171000;28099000;;28099000;28099000
AAN;441241;USD;2020;FY;2020-12-31;2021-02-23;2023-03-01;33877000;33877000;1734919000;-651377000;1083542000;-894686523;-476575000;;;187676846;-7697000;-10006000;-396848360;-565342000;-397814000;131902000;-265912000;;-265912000;-265912000
AAN;441241;USD;2021;FY;2021-12-31;2022-02-24;2024-02-29;32485000;33188000;1845504000;-686015000;1159489000;-914228056;-739696924;;;246546756;121000;-22584779;145661541;-83838000;145870000;-35936000;109934000;;109934000;109934000
AAN;441241;USD;2022;FY;2022-12-31;2023-03-01;2024-02-29;30881000;30881000;2249434000;-1087661000;1161773000;-984675190;-786604782;;;175808213;-12195000;-40914063;-14768401;-159034000;-14743000;9463000;-5280000;;-5280000;-5280000
AAOI;671827;USD;2018;FY;2018-12-31;2019-02-26;2021-02-25;19647000;19647000;267465000;-179692000;87773000;-97842268;-48638000;-49903000;;-9847159;990000;-824000;-9778000;;-9778000;7632000;-2146000;;-2146000;-2146000
AAOI;671827;USD;2019;FY;2019-12-31;2020-02-28;2022-02-24;19982363;19982363;190872000;-144671000;46201000;-93425705;-51549000;-43399000;;-47059864;-2640000;-4480000;-51387000;;-51387000;-14662000;-66049000;;-66049000;-66049000
AAOI;671827;USD;2020;FY;2020-12-31;2021-02-25;2023-02-27;21866630;21866630;234623000;-184082000;50541000;-96916509;-55990000;-43393000;;-46021590;-2382000;-5380000;-51224000;;-51224000;-7228000;-58452000;;-58452000;-58452000
AAOI;671827;USD;2021;FY;2021-12-31;2022-02-24;2024-02-23;27097372;27097372;211565000;-173850000;37715000;-93057500;-53261000;-41220000;;-55347711;2606000;-5550000;-54160000;;-54160000;-2000;-54162000;;-54162000;-54162000
AAOI;671827;USD;2022;FY;2022-12-31;2023-02-27;2024-02-23;27846387;27846387;222818000;-189191000;33627000;-92520655;-56381000;-36244000;;-58969181;-7398000;-6193000;-66396000;;-66396000;-1000;-66397000;;-66397000;-66397000
AAON;919501;USD;2018;FY;2018-12-31;2019-02-28;2021-02-25;78426924;79001909;433947000;-330414000;103533000;-47666430;-46669079;;;55339000;149000;196000;55488000;12000;55500000;-13347657;42329000;;42329000;42329000
AAON;919501;USD;2019;FY;2019-12-31;2020-02-27;2022-02-28;78119798;78953123;469333000;-349908000;119425000;-52077000;-50421849;;;67348000;20000;66000;67368000;-337000;67031000;-13320000;53711000;;53711000;53711000
AAON;919501;USD;2020;FY;2020-12-31;2021-02-25;2023-02-27;78253019;79591754;514551000;-358702000;155849000;-60214675;-58476179;;;95358000;139000;88000;101765088;6478000;101975000;-22966000;79009000;;79009000;79009000
AAON;919501;USD;2021;FY;2021-12-31;2022-02-28;2024-02-28;78631067;80319770;534517000;-396687000;137830000;-68598000;-65729620;;;69232000;-71000;-132000;69161000;21000;69182000;-10424000;58758000;;58758000;58758000
AAON;919501;USD;2022;FY;2022-12-31;2023-02-27;2024-02-28;79582479;81145608;888788000;-651216000;237572000;-110823000;-102519736;;;126749000;-2228000;-2627000;124521000;12000;124533000;-24157000;100376000;;100376000;100376000
AAP;184955;USD;2018;FY;2018-12-31;2019-02-19;2021-02-22;73728000;73991000;9580554000;-5361141000;4219413000;-3615138000;-3615138000;;;604275000;-49011000;-56588000;555264000;;555264000;-131417000;423847000;;423847000;423847000
AAP;184955;USD;2019;FY;2019-12-31;2020-02-18;2022-02-15;70869000;71165000;9709003000;-5454257000;4254746000;-3577566000;-3577566000;;;677180000;-28678000;-39898000;648502000;-10756000;637746000;-150850000;486896000;;486896000;486896000
AAP;184955;USD;2020;FY;2020-12-31;2021-02-22;2023-02-28;68748000;69003000;10106321000;-5624707000;4481614000;-3731707000;-3731707000;;;749907000;-50870000;-46886000;649394589;-48022000;651015000;-157994000;493021000;;493021000;493021000
AAP;184955;USD;2021;FY;2021-12-31;2022-02-15;2024-03-12;62854000;63348000;10997989000;-6057826312;4923950000;-4097927864;-4092003346;;;822365000;-39872000;-37791000;782493000;;782493000;-190154035;596615000;;596615000;596615000
AAP;184955;USD;2022;FY;2022-12-31;2023-02-28;2024-03-12;60351000;60717000;11154722000;-6204531409;4932235000;-4249995482;-4244325478;;;712703866;-58483000;-51060000;647815781;-7408000;604362000;-146549749;501846527;;502741744;502800141
AAPL;111052;USD;2018;FY;2018-09-30;2018-11-05;2020-10-30;19821508000;20000436000;265595000000;-163756000000;101839000000;-30941000000;-16705000000;-14236000000;;70898000000;2005000000;2446334920;72903000000;;72903000000;-13372000000;59531000000;;59531000000;59531000000
AAPL;111052;USD;2019;FY;2019-09-30;2019-10-31;2021-10-29;18471336000;18595652000;260174000000;-161782000000;98392000000;-34462000000;-18245000000;-16217000000;;63930000000;1807000000;1382050044;65737000000;;65737000000;-10481000000;55256000000;;55256000000;55256000000
AAPL;111052;USD;2020;FY;2020-09-30;2020-10-30;2022-10-28;17352119000;17528214000;274515000000;-169559000000;104956000000;-38668000000;-19916000000;-18752000000;;66288000000;803000000;889463786;67091000000;;67091000000;-9680000000;57411000000;;57411000000;57411000000
AAPL;111052;USD;2021;FY;2021-09-30;2021-10-29;2023-11-03;16391724000;16519291000;365817000000;-212981000000;152836000000;-43887000000;-21973000000;-21914000000;;108949000000;258000000;198435426;109207000000;;109207000000;-14527000000;94680000000;;94680000000;94680000000
AAPL;111052;USD;2022;FY;2022-09-30;2022-10-28;2023-11-03;16215963000;16325819000;394328000000;-223546000000;170782000000;-51345000000;-25094000000;-26251000000;;119437000000;-334000000;-106196719;119103000000;;119103000000;-19300000000;99803000000;;99803000000;99803000000
AAT;919944;USD;2018;FY;2018-12-31;2019-02-15;2021-02-16;46950812;64136559;330867000;-121544934;208926418;-129877465;-22784000;;-107093000;79535000;-52333000;-52035647;27202000;;27202000;-326206;27202000;;27202000;19733672
AAT;919944;USD;2019;FY;2019-12-31;2020-02-14;2022-02-11;54110949;70786132;366741000;-132132580;235061043;-121255328;-24871000;;-96205000;113685000;-54130000;-53240808;59555000;633000;60188000;-820229;60188000;;60188000;45702110
AAT;919944;USD;2020;FY;2020-12-31;2021-02-16;2023-02-10;59806309;76119763;344573000;-121040652;223316889;-134788165;-26581000;;-108292000;88581000;-53376000;-53054911;35205000;;35205000;8980;35205000;;35501081;27660000
AAT;919944;USD;2021;FY;2021-12-31;2022-02-11;2024-02-14;59990343;76171880;375828000;-129954022;245566566;-146012992;-29879000;;-116306000;99869000;-59569000;-58159126;37374729;-4271000;36029000;-736574;36029000;;36610693;28376000
AAT;919944;USD;2022;FY;2022-12-31;2023-02-10;2024-02-14;76230507;76230507;422648000;-152539896;270189503;-155588735;-32143000;;-123338000;114734000;-59505000;-58140851;55229000;;55229000;-851890;55229000;;55927949;43506000
AAWH;2265764;USD;2020;FY;2020-12-31;2021-03-11;2023-03-15;167790414;167790414;143732000;-82818000;60914000;-52820917;-44928757;;;7847000;-12986000;-12993000;-5139000;;-5139000;-18702000;-23841000;;-25439000;-25439000
AAWH;2265764;USD;2021;FY;2021-12-31;2022-03-11;2024-03-13;149434000;149434000;332381000;-196409000;135972000;-116184506;-106256791;;;19959500;-63733000;-63989000;-80937000;;-80937000;-41720000;-122657000;;-122657000;-122657000
AAWH;2265764;USD;2022;FY;2022-12-31;2023-03-15;2024-03-13;183381000;183381000;405926000;-271363000;134563000;-137034804;-122713310;;;-2179549;-31680000;-30241682;-39206000;;-39206000;-41693000;-80899000;;-80899000;-80899000
AAWW;762204;USD;2018;FY;2018-12-31;2019-02-19;2021-02-18;25542000;28281000;2677724000;-1362989000;1314735000;-741824000;;;-217340000;572911000;-97282000;-112668000;475629000;-166255000;309374000;-38727000;270647000;-80000;270567000;270567000
AAWW;762204;USD;2019;FY;2019-12-31;2020-02-24;2022-02-17;25828000;25828000;2739189000;-1465339000;1273850000;-811468000;;;-251097000;462382000;-86092000;-116034000;376290000;-849048000;-472758000;179645000;-293113000;;-293113000;-293113000
AAWW;762204;USD;2020;FY;2020-12-31;2021-02-18;2023-02-23;26408000;26690000;3211116000;-1684909000;1526207000;-725713000;;;-257672000;800494000;73108000;-113559000;873602000;-376860000;496742000;-136456000;360286000;;360286000;360286000
AAWW;762204;USD;2021;FY;2021-12-31;2022-02-17;2023-02-23;29023000;30547000;4030829000;-2221905000;1808924000;-756401000;;;-281209000;1052523000;-57748000;-106769000;994775000;-347384000;647391000;-154074000;493317000;;493317000;493317000
AAWW;762204;USD;2022;FY;2022-12-31;2023-02-23;2023-02-23;28463000;34190000;4549104000;-2896734000;1652370000;-801324000;;;-303220000;851046000;-60069000;-72937000;790977000;-329341000;461636000;-105756000;355880000;;355880000;355880000
ABBV;61199;USD;2018;FY;2018-12-31;2019-02-27;2021-02-19;1541000000;1546000000;32753000000;-7718000000;25035000000;-18228000000;-7399000000;-10329000000;;6807000000;-1186000000;-1144000000;5202647680;-424000000;5197000000;490000000;5687000000;;5687000000;5687000000
ABBV;61199;USD;2019;FY;2019-12-31;2020-02-21;2022-02-18;1481000000;1484000000;33266000000;-7439000000;25827000000;-12459000000;-6942000000;-6407000000;;13368000000;-4557000000;-1509000000;8811000000;-385000000;8426000000;-544000000;7882000000;;7882000000;7882000000
ABBV;61199;USD;2020;FY;2020-12-31;2021-02-19;2023-02-17;1667000000;1673000000;45804000000;-15387000000;30417000000;-17877055651;-11299000000;-6379000000;;12739000000;-7965000000;-2280000000;3397122069;-1376000000;3398000000;1224000000;4622000000;;4616000000;4616000000
ABBV;61199;USD;2021;FY;2021-12-31;2022-02-18;2024-02-20;1767880465;1778000000;56197000000;-17446000000;38751000000;-19823484685;-12349000000;-6922000000;;19048000000;-4935000000;-2384000000;13017357187;-1124000000;12989000000;-1440000000;11549000000;;11542000000;11542000000
ABBV;61199;USD;2022;FY;2022-12-31;2023-02-17;2024-02-20;1771000000;1778000000;58054000000;-17414000000;40640000000;-21826000000;-15260000000;-6510000000;;18814000000;-4640000000;-2044000000;13498118323;-697000000;13477000000;-1632000000;11845000000;;11836000000;11836000000
ABCL;1250893;USD;2019;FY;2019-12-31;2020-03-29;2022-02-25;151856754;191268368;11612000;;;-13971436;-4012000;-10113000;-1604000;-2340459;1906000;-54000;-2211000;;-2211000;;-2211000;;-2211000;-2211000
ABCL;1250893;USD;2020;FY;2020-12-31;2021-03-30;2023-02-21;269710975;370914779;233155000;-27096752;206381010;-41624316;-15752000;-29393000;-4836000;164329736;1802000;-6205130;157833000;;157833000;-38915000;118918000;;118918000;84989178
ABEO;953884;USD;2018;FY;2018-12-31;2019-03-18;2020-03-16;76045;76045;2998000;;;-61164000;-20106000;-38698000;-2360000;-58166000;1495000;1495000;-56671000;;-56671000;;-56671000;;-56671000;-56671000
ABEO;953884;USD;2019;FY;2019-12-31;2020-03-16;2021-03-24;80567;80567;;;;-77090000;-20705000;-48566000;-7819000;-77090000;808000;808000;-76282000;;-76282000;;-76282000;;-76282000;-76282000
ABEO;953884;USD;2020;FY;2020-12-31;2021-03-24;2022-03-31;3706543;3706543;10000000;;;-58504000;-23779000;-30139000;-4586000;-48504000;-2814000;-2814000;-84175700;-32916000;-84234000;;-84234000;;-84234000;-84234000
ABEO;953884;USD;2021;FY;2021-12-31;2022-03-31;2023-03-29;3706543;3706543;3000000;;;-60370000;-22819061;-38726000;;-57370000;-3601000;-3616000;-85096697;-23965000;-84936000;;-84936000;;-84936000;-84936000
ABEO;953884;USD;2022;FY;2022-12-31;2023-03-29;2024-03-18;7861515;7861515;1414000;-450819;962486;-46333634;-17256000;-28965000;;-45257000;-164000;-305000;-39628861;5725000;-39696000;;-39696000;;-39696000;-43478000
ABG;545489;USD;2018;FY;2018-12-31;2019-02-28;2021-03-01;20100000;20300000;6874400000;-5771400000;1103000000;-787948624;-755800000;;-33700000;310900000;-86100000;-86100000;224800000;;224800000;-56800000;168000000;;168000000;168000000
ABG;545489;USD;2019;FY;2019-12-31;2020-03-02;2022-03-01;19100000;19300000;7210300000;-6041400000;1168900000;-836800000;-799800000;;-36200000;332100000;-92800000;-92800000;239300000;4600000;243900000;-59500000;184400000;;184400000;184400000
ABG;545489;USD;2020;FY;2020-12-31;2021-03-01;2023-03-01;19200000;19300000;7131800000;-5908400000;1223400000;-829600000;-781900000;;-38500000;393800000;-74500000;-74339944;338875374;18700000;338000000;-83578935;254200000;;254200000;254200000
ABG;545489;USD;2021;FY;2021-12-31;2022-03-01;2024-02-29;21700000;21800000;9837700000;-7935500000;1902200000;-1117156536;-1073900000;;-41900000;791800000;-102100000;-102100000;689700000;8000000;697700000;-165300000;532400000;;532400000;532400000
ABG;545489;USD;2022;FY;2022-12-31;2023-03-01;2024-02-29;22300000;22400000;15433900000;-12333300000;3100600000;-1826346030;-1761563224;;-69000000;1272600000;-160600000;-160600000;1317874501;207100000;1319100000;-321800000;997300000;;997300000;997300000
ABIO;953886;USD;2018;FY;2018-12-31;2019-02-27;2020-02-18;769392;769392;;;;-8118000;-3879000;-4239000;;-8118000;154000;154000;-7964000;;-7964000;31000;-7933000;;-7933000;-7933000
ABIO;953886;USD;2019;FY;2019-12-31;2020-02-18;2021-03-18;1321234;1321234;;;;-5814000;-3981000;-1833000;;-5814000;165000;165000;-5649000;;-5649000;167000;-5482000;;-5482000;-5482000
ABIO;953886;USD;2020;FY;2020-12-31;2021-03-18;2022-03-14;4710237;4710237;;;;-9766000;-4774000;-4992000;;-9766000;19000;19000;-9747000;;-9747000;9000;-9738000;;-9738000;-9738000
ABIO;953886;USD;2021;FY;2021-12-31;2022-03-14;2023-02-24;14410143;14410143;;;;-19335000;-5503000;-13832000;;-19335000;13000;13000;-19322000;;-19322000;;-19322000;;-19322000;-19322000
ABIO;953886;USD;2022;FY;2022-12-31;2023-02-24;2024-02-01;14410143;14410143;0;;;-10594855;-5833418;;;-10598200;-670000;675570;-9901220;;9926000;;-9942735;;-9937051;-9905686
ABM;199984;USD;2018;FY;2018-10-31;2018-12-21;2020-12-17;66100000;66400000;6442200000;-5747400000;694800000;-6245347364;-438000000;;-118200000;190391631;-50900000;-54100000;87700000;;87700000;8200000;95900000;1900000;97800000;97800000
ABM;199984;USD;2019;FY;2019-10-31;2019-12-20;2021-12-22;66600000;66900000;6498600000;-5767500000;731100000;-6285248935;-452900000;;-58500000;219700000;-48100000;-51100000;160419237;-11200000;160400000;-32700000;127700000;-100000;127600000;127600000
ABM;199984;USD;2020;FY;2020-10-31;2020-12-17;2022-12-21;66900000;67300000;5987600000;-5157000000;830600000;-5717525992;-506100000;;-48400000;276100000;-42400000;-44600000;53268843;-180400000;53300000;-53100000;200000;-100000;300581;299893
ABMC;160965;USD;2018;FY;2018-12-31;2019-04-16;2019-04-16;30115063;30115063;3872000;-2584000;1288000;-2050000;-1957000;-93000;;-762000;-266000;-285000;-1028000;;-1028000;-2000;-1030000;;-1030000;-1030000
ABMC;160965;USD;2019;FY;2019-12-31;2020-06-26;2021-04-15;32526669;32526669;3655000;-2471000;1184000;-1777000;-1695000;-82000;;-593000;-93000;-265000;-686000;;-686000;5000;-681000;;-681000;-681000
ABMC;160965;USD;2020;FY;2020-12-31;2021-04-15;2022-04-15;38859032;38859032;4147000;-2909000;1238000;-1859000;-1769000;-90000;;-621000;-173000;-175000;-794000;0;-794000;-2000;-796000;;-796000;-796000
ABMC;160965;USD;2021;FY;2021-12-31;2022-04-15;2023-03-21;35558105;35558105;2218000;-1670000;548000;-1727000;-1642000;-85000;;-1179000;-136000;-194000;-461338;854000;-461000;-2000;-463000;;-463000;-463000
ABMC;160965;USD;2022;FY;2022-12-31;2023-03-21;2023-03-21;48017654;48017654;913000;-1016000;-103000;-1139000;-1054000;-85000;;-1242000;-166000;-191000;-1408000;0;-1408000;-2000;-1410000;;-1410000;-1410000
ABMD;445587;USD;2018;FY;2019-03-31;2019-05-23;2021-05-21;44911000;46151000;769432000;-129567000;639865000;-415053000;-321550000;-93503000;;224812000;38548000;;263360000;;263360000;-4344000;259016000;;259016000;259016000
ABMD;445587;USD;2019;FY;2020-03-31;2020-05-21;2022-05-20;45179000;45816000;840883000;-151305000;689578000;-440359000;-341600000;-98759000;;249219000;7606000;;256825000;;256825000;-53816000;203009000;;203009000;203009000
ABMD;445587;USD;2020;FY;2021-03-31;2021-05-21;2022-05-20;45140000;45674000;847522000;-161907000;685615000;-456058000;-334183000;-121875000;;229557000;58663000;;288220000;;288220000;-62695000;225525000;;225525000;225525000
ABMD;445587;USD;2021;FY;2022-03-31;2022-05-20;2022-05-20;45445000;45881000;1031753000;-188158000;843595000;-586889000;-423486000;-163403000;;256706000;49840000;;306546000;-115986000;190560000;-54055000;136505000;;136505000;136505000
ABML;11795344;USD;2018;FY;2018-09-30;2018-12-31;2019-12-27;5489210;5489210;;;;-5435530;-5207877;-227653;;-5435530;-293401;-293401;-5728931;-319161;-6048092;;-6048092;;-6048092;-6048092
ABML;11795344;USD;2019;FY;2019-09-30;2019-12-27;2020-11-16;7533677;7533677;;;;-1394637;-1071269;-323368;;-1394637;-1104240;-1100494;-2498877;23633;-2475244;;-2475244;;-2475244;-2475244
ABML;11795344;USD;2020;FY;2020-09-30;2020-09-28;2021-11-15;7533677;7533677;;;;-2413093;-2306296;-106797;;-2413093;-1576663;-1576663;-3989756;838547;-3151209;;-3151209;;-3151209;-3151209
ABML;11795344;USD;2021;FY;2021-09-30;2021-11-15;2022-11-14;43202414;7533677;;;;-19987286;-19690639;-296647;;-19987286;14000;;-19973286;;-19973286;;-19973286;;-19973286;-19973286
ABML;11795344;USD;2022;FY;2022-09-30;2022-09-12;2023-11-14;43202414;7533677;;;;-2577136;-2008167;-568969;;-2577136;38343;;-2538793;104339;-2434454;;-2434454;;-2434454;-2434454
ABNB;1214552;USD;2019;FY;2019-12-31;2020-02-26;2022-02-25;262509000;262509000;4805239000;-1196313000;3608926000;-4110469000;-2318700000;-976695000;;-501543000;89840000;75934000;-411703000;;-411703000;-262636000;-674339000;;-674339000;-674339000
ABNB;1214552;USD;2020;FY;2020-12-31;2021-02-26;2023-02-17;601021000;601021000;3378000000;-876000000;2502000000;-5941000000;-2312140020;-2753000000;;-3440300664;-1092000000;-144795379;-4683069212;-151000000;-4682000000;97000000;-4577425855;;-4587324798;-4594766419
ABNB;1214552;USD;2021;FY;2021-12-31;2022-02-25;2024-02-16;621012000;681916000;5992000000;-1158453252;4836000000;-4292955548;-2023276889;-1425000000;;542000000;-729000000;-425420974;-299814695;-113000000;-300000000;-51729805;-352000000;;-352000000;-352000000
